0	588	0.94	-1.85
0	645	-1.29	-10.47
0	646	7.63	-3.66
0	648	9.79	3.36
0	649	-1.47	-0.21
0	651	8.16	-1.2
0	654	-3.62	2.36
0	655	6.62	-1.22
0	658	11.7	3.63
0	659	8.69	-3.12
1	588	0.94	-1.85
1	645	-1.28	-10.49
1	646	7.63	-3.66
1	648	9.78	3.33
1	649	-1.03	0.0
1	651	7.9	-1.53
1	654	-3.59	2.39
1	655	6.0	-1.14
1	658	11.93	3.01
1	659	8.56	-3.25
1	660	-10.62	-2.04
2	588	0.94	-1.85
2	645	-1.28	-10.48
2	646	7.63	-3.66
2	648	9.78	3.35
2	649	-0.64	0.21
2	651	7.64	-1.85
2	654	-3.62	2.36
2	655	5.47	-1.1
2	658	12.25	2.49
2	659	8.66	-3.12
2	660	-11.06	-2.21
3	588	0.94	-1.85
3	645	-1.3	-10.46
3	646	7.63	-3.66
3	648	9.78	3.34
3	649	-0.12	0.37
3	651	7.33	-2.24
3	654	-3.66	2.36
3	655	4.42	-0.75
3	658	12.66	2.05
3	659	8.66	-3.1
3	660	-11.78	-2.33
4	588	0.93	-1.84
4	645	-1.3	-10.45
4	646	7.57	-3.74
4	648	9.78	3.28
4	649	0.31	0.52
4	654	-3.56	2.44
4	655	4.02	-0.89
4	658	13.0	1.95
4	659	9.46	-2.17
4	660	-12.31	-2.42
5	588	0.94	-1.85
5	645	-1.3	-10.46
5	646	7.37	-3.45
5	648	9.78	3.31
5	649	0.66	0.56
5	654	-3.52	2.48
5	655	3.55	-0.8
5	658	13.36	1.84
5	659	9.75	-1.81
5	660	-12.81	-2.47
5	661	3.68	-1.59
5	662	3.69	-1.55
6	588	0.93	-1.85
6	645	-1.29	-10.46
6	646	7.56	-3.43
6	648	9.78	3.34
6	649	1.14	0.45
6	654	-3.47	2.52
6	655	3.07	-0.7
6	658	13.74	1.74
6	659	10.05	-1.45
6	660	-13.29	-2.53
6	661	3.26	-1.61
6	662	3.19	-1.54
7	588	0.89	-1.82
7	645	-1.28	-10.48
7	646	7.66	-3.65
7	648	9.78	3.35
7	649	1.76	0.45
7	654	-3.42	2.57
7	655	2.44	-0.65
7	658	14.42	1.7
7	660	-13.97	-2.6
7	661	2.57	-1.49
7	662	0.16	-2.82
8	588	0.9	-1.82
8	645	-1.15	-10.62
8	646	7.64	-3.67
8	648	9.79	3.35
8	649	2.18	0.66
8	655	1.89	-0.61
8	658	14.98	1.74
8	660	-14.54	-2.63
8	661	1.9	-1.45
8	662	-0.5	-4.21
9	588	0.9	-1.82
9	645	-1.24	-10.52
9	646	7.64	-3.68
9	648	9.79	3.35
9	649	2.6	0.78
9	655	1.25	-0.5
9	658	15.52	1.79
9	660	-15.12	-2.65
9	661	1.26	-1.41
9	662	-1.61	-5.14
10	588	0.94	-1.85
10	645	-1.3	-10.47
10	646	7.63	-3.66
10	648	9.78	3.32
10	649	2.96	0.65
10	655	0.76	-0.46
10	658	15.86	1.86
10	660	-15.69	-2.68
10	661	0.89	-1.31
10	662	-2.73	-6.07
11	588	0.96	-1.86
11	645	-1.34	-10.43
11	646	7.63	-3.65
11	648	9.78	3.31
11	649	3.57	0.65
11	655	-0.1	-0.4
11	658	16.55	2.05
11	660	-16.38	-2.71
11	661	0.08	-1.2
11	662	-4.09	-7.21
12	588	0.94	-1.85
12	645	-1.38	-10.4
12	646	7.63	-3.65
12	648	9.77	3.28
12	649	3.89	0.66
12	655	-0.53	-0.4
12	658	17.08	2.18
12	660	-16.95	-2.74
12	661	-0.32	-1.18
12	663	6.19	-3.5
12	664	6.97	-5.2
13	588	0.93	-1.85
13	645	-1.31	-10.45
13	646	7.63	-3.66
13	648	9.77	3.26
13	649	4.29	0.7
13	655	-1.08	-0.35
13	658	17.39	2.34
13	661	-0.88	-1.24
13	663	6.23	-3.59
13	664	6.94	-5.19
14	588	0.94	-1.85
14	645	-1.32	-10.44
14	646	7.63	-3.66
14	648	9.77	3.23
14	649	4.83	0.79
14	655	-1.88	-0.31
14	658	17.85	2.58
14	661	-1.72	-1.23
14	663	6.27	-3.68
14	664	6.92	-5.19
14	665	4.52	1.31
14	666	4.58	1.43
15	588	0.93	-1.85
15	645	-1.32	-10.44
15	646	7.63	-3.65
15	648	9.76	3.21
15	649	5.14	0.82
15	655	-2.49	-0.39
15	658	18.18	2.76
15	661	-2.22	-1.25
15	663	6.31	-3.75
15	664	6.89	-5.18
15	665	4.76	1.33
15	666	5.01	1.47
15	667	-11.03	-1.58
16	588	0.94	-1.85
16	645	-1.31	-10.45
16	646	7.63	-3.66
16	649	5.83	0.92
16	655	-3.15	-0.43
16	658	18.48	2.94
16	661	-2.83	-1.25
16	665	5.43	1.42
16	667	-11.03	-1.58
17	588	0.94	-1.85
17	645	-1.3	-10.45
17	646	7.63	-3.66
17	649	6.33	0.95
17	655	-3.75	-0.53
17	658	18.66	3.15
17	661	-3.4	-1.14
17	665	5.9	1.48
18	588	0.93	-1.85
18	645	-1.3	-10.45
18	646	7.63	-3.66
18	649	6.81	0.99
18	655	-4.32	-0.63
18	658	18.82	3.26
18	661	-3.92	-1.38
18	665	6.33	1.56
18	668	3.16	-4.35
19	588	0.93	-1.85
19	645	-1.29	-10.46
19	646	7.63	-3.66
19	649	7.22	1.1
19	655	-4.93	-0.72
19	658	18.98	3.39
19	661	-4.58	-1.52
19	665	6.7	1.65
19	668	3.17	-4.2
20	588	0.94	-1.85
20	646	7.63	-3.66
20	649	7.66	1.19
20	655	-5.53	-0.91
20	658	19.15	3.52
20	661	-5.1	-1.6
20	665	7.12	1.67
20	668	3.16	-4.03
21	588	0.94	-1.85
21	646	7.62	-3.68
21	649	8.21	1.47
21	655	-6.25	-1.06
21	661	-5.89	-2.0
21	665	7.72	1.79
21	668	3.13	-3.66
21	669	6.2	-4.05
21	670	6.06	-3.45
21	671	9.77	3.25
22	588	0.94	-1.85
22	646	7.62	-3.66
22	649	8.4	1.74
22	655	-6.77	-1.22
22	661	-6.49	-2.22
22	665	8.18	1.87
22	668	2.78	-2.88
22	669	6.14	-4.14
22	671	9.78	3.25
22	672	3.63	-5.63
23	588	0.93	-1.85
23	646	7.63	-3.65
23	649	8.7	1.92
23	655	-7.4	-1.32
23	661	-6.89	-2.03
23	665	8.64	1.96
23	668	2.5	-2.27
23	669	6.12	-4.2
23	671	9.79	3.32
23	672	3.48	-5.65
23	673	13.28	2.76
24	588	0.94	-1.85
24	646	7.63	-3.65
24	649	8.78	2.11
24	655	-8.09	-1.44
24	661	-7.57	-2.0
24	665	9.32	1.92
24	668	2.12	-1.59
24	669	6.11	-4.21
24	671	9.77	3.31
24	673	13.25	2.61
25	588	0.95	-1.85
25	646	7.63	-3.66
25	649	9.12	2.16
25	655	-8.5	-1.57
25	661	-7.99	-2.25
25	665	9.82	1.96
25	668	1.59	-1.4
25	669	6.1	-4.21
25	671	9.79	3.34
25	673	13.25	2.73
26	588	0.94	-1.85
26	646	7.63	-3.66
26	649	9.28	2.28
26	655	-9.08	-1.7
26	661	-8.56	-2.45
26	665	9.9	2.22
26	668	0.92	-1.24
26	669	6.11	-4.18
26	671	9.79	3.3
26	673	13.24	2.72
27	588	0.94	-1.85
27	646	7.63	-3.66
27	649	9.46	2.42
27	655	-9.73	-1.85
27	661	-9.2	-2.67
27	665	10.27	2.37
27	668	0.16	-1.08
27	669	6.12	-4.19
27	671	9.78	3.32
27	673	13.22	2.72
28	588	0.94	-1.85
28	646	7.63	-3.66
28	649	9.47	2.47
28	655	-10.45	-2.05
28	661	-9.73	-2.85
